base_learner_type,ensemble_method,method_params,repetition,ucr_score,computational_time
MP,maximum_score,{},8,0.224,152.861722946167
MP,wv_ols,{},8,0.48800000000000004,247.7848832607269
MP,wv_ols_r2,"{""emphasize_diversity"": false}",8,0.184,251.94270706176758
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",8,0.42400000000000004,153.46991348266604
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",8,0.41600000000000004,154.3085997104645
MP,simple_average,{},9,0.6000000000000001,144.16276383399963
MP,maximum_score,{},9,0.22,144.37725210189816
MP,wv_ols,{},9,0.576,239.84488677978516
MP,wv_ols_r2,"{""emphasize_diversity"": false}",9,0.18,246.16266131401062
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",9,0.56,144.89737105369574
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",9,0.552,145.79134726524356
LOF,simple_average,{},0,0.6200000000000001,3889.7796635627747
LOF,maximum_score,{},0,0.52,3889.9530079364786
LOF,wv_ols,{},0,0.6280000000000001,3991.4255321025857
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",0,0.6040000000000001,3988.390254735947
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",0,0.6240000000000001,3890.589133739472
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",0,0.6160000000000001,3891.42404794693
LOF,simple_average,{},1,0.6000000000000001,3881.190761089325
LOF,maximum_score,{},1,0.512,3881.4062025547028
LOF,wv_ols,{},1,0.6160000000000001,3975.7526056766505
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",1,0.6280000000000001,3981.164854764938
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",1,0.6280000000000001,3881.933053970338
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",1,0.6160000000000001,3882.833906412125
LOF,simple_average,{},2,0.6280000000000001,3889.999320030213
LOF,maximum_score,{},2,0.52,3890.21612739563
LOF,wv_ols,{},2,0.6320000000000001,3986.1686921119685
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",2,0.6040000000000001,3991.508023023605
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",2,0.6320000000000001,3890.7336835861206
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",2,0.6240000000000001,3891.8538796901707
LOF,simple_average,{},3,0.6120000000000001,3881.1926608085632
LOF,maximum_score,{},3,0.504,3881.407046318054
LOF,wv_ols,{},3,0.6280000000000001,3977.5777885913853
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",3,0.596,3981.666717767715
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",3,0.6200000000000001,3881.9232866764073
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",3,0.6240000000000001,3882.8500494956966
LOF,simple_average,{},4,0.6000000000000001,3893.2860341072083
LOF,maximum_score,{},4,0.504,3893.4954576492314
LOF,wv_ols,{},4,0.592,3987.4871540069585
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",4,0.58,3993.5264251232143
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",4,0.6280000000000001,3894.0169205665593
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",4,0.6080000000000001,3894.9254198074345
LOF,simple_average,{},5,0.6120000000000001,3893.281432628631
LOF,maximum_score,{},5,0.512,3893.554444789886
LOF,wv_ols,{},5,0.6240000000000001,3987.78341960907
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",5,0.572,3993.259264945984
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",5,0.6400000000000001,3894.014314174652
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",5,0.6160000000000001,3894.9419543743143
LOF,simple_average,{},6,0.6000000000000001,3893.280903816223
LOF,maximum_score,{},6,0.512,3893.494712591172
LOF,wv_ols,{},6,0.6200000000000001,3988.4698548316956
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",6,0.6000000000000001,3991.003428220749
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",6,0.6360000000000001,3894.0226576328278
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",6,0.6280000000000001,3894.943192481995
LOF,simple_average,{},7,0.6080000000000001,3881.200502634049
LOF,maximum_score,{},7,0.512,3881.4585692882542
LOF,wv_ols,{},7,0.6200000000000001,3976.9778740406036
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",7,0.6120000000000001,3981.0304925441746
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",7,0.6280000000000001,3881.918348789215
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",7,0.6160000000000001,3882.8584253787994
LOF,simple_average,{},8,0.6080000000000001,3893.3006560802464
LOF,maximum_score,{},8,0.48800000000000004,3893.5173006057744
LOF,wv_ols,{},8,0.6160000000000001,3987.1363601684566
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",8,0.58,3993.2825763225555
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",8,0.6320000000000001,3895.0281744003296
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",8,0.6280000000000001,3894.996233701706
LOF,simple_average,{},9,0.6160000000000001,3891.184988498687
LOF,maximum_score,{},9,0.528,3891.39918088913
LOF,wv_ols,{},9,0.6280000000000001,3990.66580414772
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",9,0.6080000000000001,3993.1925528049474
